Country,Total Cases,New Cases,Deaths,New Deaths,Recovered,Active,Serious/Critical
USA,"30,922,914","5,772","562,069",56,"23,348,808","7,012,037","8,592"
Brazil,"12,490,362",,"310,694",,"10,879,627","1,300,041","8,318"
India,"11,987,860","16,856","161,715",129,"11,330,279","495,866","8,944"
Russia,"4,519,832","9,088","97,740",336,"4,139,128","282,964","2,300"
France,"4,508,575",,"94,465",,"289,350","4,124,760","4,791"
UK,"4,333,042","3,862","126,592",19,"3,805,416","401,034",615
Italy,"3,532,057","19,611","107,933",297,"2,850,889","573,235","3,679"
Spain,"3,255,324",,"75,010",,"3,016,247","164,067","1,830"
Turkey,"3,179,115",,"30,923",,"2,939,929","208,263","1,886"
Germany,"2,776,004","3,310","76,419",15,"2,484,600","214,985","3,209"
Colombia,"2,375,591",,"62,790",,"2,261,373","51,428","1,982"
Argentina,"2,301,389",,"55,368",,"2,072,228","173,793","3,506"
Poland,"2,250,991","29,253","51,884",131,"1,798,922","400,185","2,894"
Mexico,"2,224,767","4,922","201,429",567,"1,759,123","264,215","4,798"
Iran,"1,855,674","8,751","62,397",89,"1,593,219","200,058","3,920"
Ukraine,"1,644,063","11,932","31,954",203,"1,300,625","311,484",177
South Africa,"1,544,466",,"52,648",,"1,471,164","20,654",546
Peru,"1,520,973",,"51,238",,"1,432,450","37,285","2,301"
Czechia,"1,515,029","3,955","25,874",38,"1,315,571","173,584","1,800"
Indonesia,"1,496,085","4,083","40,449",85,"1,331,400","124,236",
Netherlands,"1,252,437","7,430","16,465",15,N/A,N/A,646
Chile,"977,243","7,330","22,754",101,"912,058","42,431","2,539"
Canada,"964,448","3,365","22,873",21,"898,444","43,131",661
Romania,"936,618","4,439","23,114",117,"837,060","76,444","1,386"
Belgium,"866,063","5,332","22,870",18,"56,371","786,822",667
Iraq,"832,428","5,271","14,212",35,"745,935","72,281",492
Israel,"831,897",514,"6,180",15,"815,721","9,996",458
Portugal,"820,407",365,"16,837",10,"775,391","28,179",142
Sweden,"780,018",,"13,402",,N/A,N/A,284
Philippines,"721,892","9,475","13,170",11,"603,154","105,568",785
Pakistan,"654,591","4,767","14,215",57,"595,929","44,447","3,043"
Hungary,"633,861","9,082","19,972",220,"395,790","218,099","1,527"
Bangladesh,"595,714","3,908","8,904",35,"535,641","51,169",
Switzerland,"592,217",,"10,299",,"542,535","39,383",159
Serbia,"585,506","3,889","5,190",39,"488,992","91,324",269
Jordan,"582,133",,"6,472",,"476,090","99,571",729
Austria,"536,465","2,679","9,256",25,"491,619","35,590",519
Morocco,"494,358",,"8,798",,"482,084","3,476",262
Japan,"466,849","1,983","9,031",33,"441,237","16,581",341
Lebanon,"458,338",,"6,058",,"360,244","92,036",978
UAE,"455,197","2,128","1,481",4,"438,706","15,010",
Saudi Arabia,"388,325",531,"6,650",7,"376,947","4,728",638
Slovakia,"357,910",925,"9,496",70,"255,300","93,114",662
Panama,"353,497",,"6,090",,"342,379","5,028",105
Malaysia,"341,944","1,302","1,255",4,"326,309","14,380",169
Bulgaria,"327,770",,"12,650",,"248,904","66,216",769
Ecuador,"322,699",,"16,679",,"271,847","34,173",534
Belarus,"318,681","1,050","2,219",8,"309,535","6,927",
Georgia,"280,301",365,"3,751",5,"272,219","4,331",
Nepal,"276,839",89,"3,027",,"272,530","1,282",
Bolivia,"269,302",591,"12,165",22,"217,921","39,216",71
Croatia,"267,222","1,321","5,893",21,"251,237","10,092",121
Azerbaijan,"256,201","1,831","3,491",27,"236,151","16,559",
Greece,"254,031","1,441","7,880",54,"214,527","31,624",728
Dominican Republic,"251,983",401,"3,304",2,"211,044","37,635",151
Tunisia,"249,703",,"8,705",,"215,195","25,803",281
Kazakhstan,"240,381","1,596","2,994",14,"216,380","21,007",221
Palestine,"236,462","1,714","2,581",24,"210,340","23,541",197
Ireland,"233,937",,"4,653",,"23,364","205,920",65
Denmark,"228,013",964,"2,414",1,"216,590","9,009",43
Kuwait,"227,178",,"1,279",,"211,360","14,539",250
Moldova,"226,521",861,"4,827",42,"201,769","19,925",339
Costa Rica,"215,178",,"2,931",,"191,707","20,540",155
Lithuania,"213,941",412,"3,551",12,"197,618","12,772",128
Slovenia,"212,678",640,"4,018",7,"196,319","12,341",106
Paraguay,"206,597",,"4,003",,"169,197","33,397",423
Egypt,"199,364",,"11,845",,"152,642","34,877",90
